index	count
230.0	42.0
231.0	25.0
232.0	28.0
233.0	48.0
234.0	16.0
235.0	42.0
236.0	20.0
237.0	41.0
238.0	39.0
239.0	31.0
240.0	27.0
241.0	41.0
242.0	38.0
243.0	19.0
244.0	20.0
245.0	22.0
246.0	17.0
247.0	13.0
248.0	13.0
249.0	16.0
250.0	15.0
251.0	18.0
252.0	15.0
253.0	28.0
254.0	42.0
255.0	20.0
256.0	16.0
257.0	16.0
258.0	12.0
259.0	15.0
260.0	10.0
261.0	15.0
262.0	15.0
263.0	22.0
264.0	14.0
265.0	21.0
266.0	14.0
267.0	16.0
268.0	14.0
269.0	17.0
270.0	17.0
271.0	15.0
272.0	30.0
273.0	15.0
274.0	22.0
275.0	33.0
276.0	31.0
277.0	31.0
278.0	38.0
279.0	10.0
280.0	31.0
281.0	8.0
282.0	15.0
283.0	12.0
284.0	48.0
285.0	42.0
286.0	18.0
287.0	18.0
288.0	54.0
289.0	19.0
290.0	35.0
291.0	27.0
292.0	48.0
293.0	20.0
294.0	25.0
295.0	13.0
296.0	21.0
297.0	44.0
298.0	22.0
299.0	49.0
300.0	32.0
301.0	29.0
302.0	22.0
303.0	40.0
304.0	18.0
305.0	16.0
306.0	29.0
307.0	23.0
308.0	28.0
309.0	35.0
310.0	41.0
311.0	42.0
312.0	29.0
313.0	39.0
314.0	17.0
315.0	35.0
316.0	16.0
317.0	21.0
318.0	13.0
319.0	23.0
320.0	22.0
321.0	22.0
322.0	22.0
323.0	18.0
324.0	39.0
325.0	25.0
326.0	28.0
327.0	19.0
328.0	11.0
329.0	14.0
330.0	22.0
331.0	28.0
332.0	26.0
333.0	33.0
334.0	21.0
335.0	37.0
336.0	34.0
337.0	13.0
338.0	13.0
339.0	12.0
340.0	14.0
341.0	32.0
342.0	22.0
343.0	27.0
344.0	42.0
345.0	47.0
346.0	25.0
347.0	23.0
348.0	14.0
349.0	21.0
350.0	14.0
351.0	23.0
352.0	31.0
353.0	21.0
